first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
biggs,andy,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bilirakis,gus,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bishop,dan,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bishop,rob,utah,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bishop,sanford,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
blackburn,marsha,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
blumenauer,earl,oregon,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
blumenthal,richard,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bluntrochester,lisa,delaware,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
blunt,roy,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bonamici,suzanne,oregon,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
booker,cory,new jersey,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
boozman,john,arkansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bost,mike,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
boyle,brendan,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brady,kevin,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
braun,mike,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brindisi,anthony,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brooks,mo,alabama,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brooks,susan,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brown,anthony,maryland,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brown,sherrod,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brownley,julia,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
buchanan,vern,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
