first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
hasheem,thabeet,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
hassan,whiteside,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
hedo,turkoglu,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
hilton,armstrong,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
ian,mahinmi,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
ike,diogu,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
ish,smith,memphis,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
j.j.,barea,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jj,hickson,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
goran,dragic,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
glen,davis,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
gilbert,arenas,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
gerald,wallace,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
mike,bibby,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
eric,bledsoe,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
eric,gordon,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
eric,maynor,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
erick,dampier,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
ersan,ilyasova,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
etan,thomas,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
evan,turner,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jj,redick,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
fabricio,oberto,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
francisco,garcia,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
gani,lawal,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
garret,siler,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
garrett,temple,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
gary,forbes,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
gerald,henderson,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
francisco,elson,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jr,smith,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jamaal,magloire,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jeff,foster,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jeff,green,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jeff,teague,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jeremy,evans,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jermaine,o'neal,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jermaine,taylor,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jawad,williams,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jerry,stackhouse,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joakim,noah,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jodie,meeks,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joe,johnson,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joe,smith,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joel,anthony,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joel,przybilla,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joey,dorsey,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
joey,graham,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jerryd,bayless,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
john,lucas iii,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,williams,memphis,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,terry,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jamal,crawford,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jamario,moon,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jameer,nelson,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
james,harden,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
james,johnson,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
james,jones,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
james,posey,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,thompson,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jared,dudley,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jarron,collins,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,collins,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,kapono,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,kidd,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,maxiell,detroit,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jason,richardson,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
mike,conley,memphis,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
omri,casspi,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
mike,harris,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
daequan,cook,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dahntay,jones,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
damien,wilkins,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
daniel,gibson,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dajuan,summers,detroit,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
danilo,gallinari,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dante,cunningham,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
darius,songaila,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
darko,milicic,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
darnell,jackson,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
darrell,arthur,memphis,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
danny,granger,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
darren,collison,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dj,white,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
d.j.,augustin,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,duhon,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,johnson,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,kaman,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chris,wilcox,detroit,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
christian,eyenga,cleveland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
cole,aldrich,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
corey,brewer,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
corey,maggette,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
courtney,lee,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
craig,brackins,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
craig,smith,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
chuck,hayes,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dominique,jones,dallas,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
donte,greene,sacramento,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
drew,gooden,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dwight,howard,orlando,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
dwyane,wade,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
