,first_name,middle_name,last_name,language_id,geographic_zone_id,category_id
163,fulcher,NULL,russ,0,11,0
164,risch,NULL,james,0,11,0
165,simpson,NULL,michael“mike”,0,11,0
166,pritzker,NULL,j.b.,0,12,0
167,bost,NULL,mike,0,12,0
168,bustos,NULL,cheri,0,12,0
169,casten,NULL,sean,0,12,0
170,davis,NULL,danny,0,12,0
171,davis,NULL,rodney,0,12,0
172,duckworth,NULL,tammy,0,12,0
173,durbin,NULL,richard,0,12,0
174,foster,NULL,bill,0,12,0
175,garcía,NULL,jesús,0,12,0
176,kelly,NULL,robin,0,12,0
177,kinzinger,NULL,adam,0,12,0
178,krishnamoorthi,NULL,raja,0,12,0
179,lahood,NULL,darin,0,12,0
180,lipinski,NULL,daniel,0,12,0
181,quigley,NULL,mike,0,12,0
182,rush,NULL,bobby,0,12,0
183,schakowsky,NULL,janice“jan”,0,12,0
184,schneider,NULL,bradley“brad”,0,12,0
185,shimkus,NULL,john,0,12,0
186,underwood,NULL,lauren,0,12,0
187,holcomb,NULL,eric,0,13,0
188,baird,NULL,james,0,13,0
189,banks,NULL,jim,0,13,0
190,braun,NULL,mike,0,13,0
191,brooks,NULL,susan,0,13,0
192,bucshon,NULL,larry,0,13,0
193,carson,NULL,andré,0,13,0
194,hollingsworth,NULL,trey,0,13,0
195,pence,NULL,greg,0,13,0
196,visclosky,NULL,peter,0,13,0
197,walorski,NULL,jackie,0,13,0
198,young,NULL,todd,0,13,0
199,reynolds,NULL,kimberly,0,14,0
200,axne,NULL,cynthia,0,14,0
201,ernst,NULL,joni,0,14,0
202,finkenauer,NULL,abby,0,14,0
203,grassley,NULL,charles“chuck”,0,14,0
204,king,NULL,steve,0,14,0
205,loebsack,NULL,david,0,14,0
206,kelly,NULL,laura,0,15,0
207,davids,NULL,sharice,0,15,0
208,estes,NULL,ron,0,15,0
209,marshall,NULL,roger,0,15,0
210,moran,NULL,jerry,0,15,0
211,roberts,NULL,pat,0,15,0
212,watkins,NULL,steven,0,15,0
213,bevin,NULL,matthew,0,16,0
214,barr,NULL,garland“andy”,0,16,0
215,comer,NULL,james,0,16,0
216,guthrie,NULL,brett,0,16,0
217,massie,NULL,thomas,0,16,0
218,mcconnell,NULL,mitch,0,16,0
219,paul,NULL,rand,0,16,0
220,rogers,NULL,harold“hal”,0,16,0
221,yarmuth,NULL,john,0,16,0
222,edwards,NULL,john,0,17,0
223,abraham,NULL,ralph,0,17,0
224,cassidy,NULL,bill,0,17,0
225,graves,NULL,garret,0,17,0
226,higgins,NULL,clay,0,17,0
227,johnson,NULL,mike,0,17,0
228,kennedy,NULL,john,0,17,0
229,richmond,NULL,cedric,0,17,0
230,scalise,NULL,steve,0,17,0
231,mills,NULL,janet,0,18,0
232,collins,NULL,susan,0,18,0
233,golden,NULL,jared,0,18,0
234,king,NULL,angus,0,18,0
235,pingree,NULL,chellie,0,18,0
236,hogan,NULL,lawrence,0,19,0
237,brown,NULL,anthony,0,19,0
238,cardin,NULL,benjamin,0,19,0
239,harris,NULL,andy,0,19,0
240,hoyer,NULL,steny,0,19,0
241,mfume,NULL,kweisi,0,19,0
242,raskin,NULL,jamie,0,19,0
243,ruppersberger,NULL,a.dutch,0,19,0
244,sarbanes,NULL,john,0,19,0
245,trone,NULL,david,0,19,0
246,vanhollen,NULL,chris,0,19,0
247,baker,NULL,charles,0,20,0
248,clark,NULL,katherine,0,20,0
249,keating,NULL,william,0,20,0
250,kennedy,NULL,joseph,0,20,0
251,lynch,NULL,stephen,0,20,0
252,markey,NULL,edward“ed”,0,20,0
253,mcgovern,NULL,james“jim”,0,20,0
254,moulton,NULL,seth,0,20,0
255,neal,NULL,richard,0,20,0
256,pressley,NULL,ayanna,0,20,0
257,trahan,NULL,lori,0,20,0
258,warren,NULL,elizabeth,0,20,0
259,whitmer,NULL,gretchen,0,21,0
260,amash,NULL,justin,0,21,0
261,bergman,NULL,jack,0,21,0
262,dingell,NULL,debbie,0,21,0
263,huizenga,NULL,bill,0,21,0
264,kildee,NULL,daniel,0,21,0
265,lawrence,NULL,brenda,0,21,0
266,levin,NULL,andy,0,21,0
267,mitchell,NULL,paul,0,21,0
268,moolenaar,NULL,john,0,21,0
269,peters,NULL,gary,0,21,0
270,slotkin,NULL,elissa,0,21,0
271,stabenow,NULL,debbie,0,21,0
272,stevens,NULL,haley,0,21,0
273,tlaib,NULL,rashida,0,21,0
274,upton,NULL,fred,0,21,0
275,walberg,NULL,tim,0,21,0
276,walz,NULL,tim,0,22,0
277,craig,NULL,angie,0,22,0
278,emmer,NULL,tom,0,22,0
279,hagedorn,NULL,jim,0,22,0
280,klobuchar,NULL,amy,0,22,0
281,mccollum,NULL,betty,0,22,0
282,omar,NULL,ilhan,0,22,0
283,peterson,NULL,collin,0,22,0
284,phillips,NULL,dean,0,22,0
285,smith,NULL,tina,0,22,0
286,stauber,NULL,pete,0,22,0
287,bryant,NULL,dewey,0,23,0
288,guest,NULL,michael,0,23,0
289,hyde-smith,NULL,cindy,0,23,0
290,kelly,NULL,trent,0,23,0
291,palazzo,NULL,steven,0,23,0
292,thompson,NULL,bennie,0,23,0
293,wicker,NULL,roger,0,23,0
294,parson,NULL,michael,0,24,0
295,blunt,NULL,roy,0,24,0
296,clay,NULL,lacy,0,24,0
297,cleaver,NULL,emanuel,0,24,0
298,graves,NULL,sam,0,24,0
299,hartzler,NULL,vicky,0,24,0
300,hawley,NULL,joshua,0,24,0
301,long,NULL,billy,0,24,0
302,luetkemeyer,NULL,blaine,0,24,0
303,smith,NULL,jason,0,24,0
304,wagner,NULL,ann,0,24,0
305,bullock,NULL,stephen,0,25,0
306,daines,NULL,steve,0,25,0
307,gianforte,NULL,greg,0,25,0
308,tester,NULL,jon,0,25,0
309,ricketts,NULL,john,0,26,0
310,bacon,NULL,don,0,26,0
311,fischer,NULL,deb,0,26,0
312,fortenberry,NULL,jeff,0,26,0
313,sasse,NULL,benjamin,0,26,0
314,smith,NULL,adrian,0,26,0
315,sisolak,NULL,steve,0,27,0
316,amodei,NULL,mark,0,27,0
317,cortezmasto,NULL,catherine,0,27,0
318,horsford,NULL,steven,0,27,0
319,lee,NULL,susie,0,27,0
320,rosen,NULL,jacky,0,27,0
321,titus,NULL,dina,0,27,0
322,sununu,NULL,christopher,0,28,0
323,hassan,NULL,margaret“maggie”,0,28,0
324,kuster,NULL,ann,0,28,0
325,pappas,NULL,chris,0,28,0
326,shaheen,NULL,jeanne,0,28,0
327,murphy,NULL,philip,0,29,0
328,booker,NULL,cory,0,29,0
329,gottheimer,NULL,josh,0,29,0
330,kim,NULL,andy,0,29,0
331,malinowski,NULL,tom,0,29,0
332,menendez,NULL,robert“bob”,0,29,0
333,norcross,NULL,donald,0,29,0
334,pallone,NULL,frank,0,29,0
335,pascrell,NULL,bill,0,29,0
336,payne,NULL,donald,0,29,0
337,sherrill,NULL,mikie,0,29,0
338,sires,NULL,albio,0,29,0
339,smith,NULL,christopher“chris”,0,29,0
340,vandrew,NULL,jefferson,0,29,0
341,watsoncoleman,NULL,bonnie,0,29,0
342,lujan grisham,NULL,michelle,0,30,0
343,haaland,NULL,debra,0,30,0
344,heinrich,NULL,martin,0,30,0
345,luján,NULL,ben,0,30,0
346,torressmall,NULL,xochitl,0,30,0
347,udall,NULL,tom,0,30,0
348,cuomo,NULL,andrew,0,31,0
349,brindisi,NULL,anthony,0,31,0
350,clarke,NULL,yvette,0,31,0
